opening_type,context,move_type_pred,move_pred
French Defense: Normal Variation,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R e7e6 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R d2d4 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R b7b6 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R a2a3 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R c8b7 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R b1c3 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . B Q K B N R g8h6 0
r n . q k b . r
p b p p . p p p
. p . . p . . n
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . B Q K B N R c1h6 1
r n . q k b . r
p b p p . p p p
. p . . p . . B
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . . Q K B N R g7h6 1
r n . q k b . r
p b p p . p . p
. p . . p . . p
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . . Q K B N R f1e2 0
r n . q k b . r
p b p p . p . p
. p . . p . . p
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . B P P P
R . . Q K . N R d8g5 0
r n . . k b . r
p b p p . p . p
. p . . p . . p
. . . . . . q .
. . . P P . . .
P . N . . . . .
. P P . B P P P
R . . Q K . N R e2g4 0
r n . . k b . r
p b p p . p . p
. p . . p . . p
. . . . . . q .
. . . P P . B .
P . N . . . . .
. P P . . P P P
R . . Q K . N R
",0,h6h5
French Defense: Normal Variation,"r n . q k b . r
p b p p . p . p
. p . . p . . p
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . B P P P
R . . Q K . N R d8g5 0
r n . . k b . r
p b p p . p . p
. p . . p . . p
. . . . . . q .
. . . P P . . .
P . N . . . . .
. P P . B P P P
R . . Q K . N R e2g4 0
r n . . k b . r
p b p p . p . p
. p . . p . . p
. . . . . . q .
. . . P P . B .
P . N . . . . .
. P P . . P P P
R . . Q K . N R
",0,h6h5
French Defense: Normal Variation,"r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R b7b6 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R a2a3 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R c8b7 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R b1c3 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . B Q K B N R g8h6 0
r n . q k b . r
p b p p . p p p
. p . . p . . n
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . B Q K B N R c1h6 1
r n . q k b . r
p b p p . p p p
. p . . p . . B
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . . Q K B N R
",1,g7h6
French Defense: Normal Variation,"r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R d2d4 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R b7b6 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R a2a3 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R c8b7 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R b1c3 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . B Q K B N R
",0,g8h6
French Defense: Normal Variation,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R e7e6 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R d2d4 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R b7b6 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B N R a2a3 0
r n b q k b n r
p . p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R c8b7 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . . . . . . .
. P P . . P P P
R N B Q K B N R b1c3 0
r n . q k b n r
p b p p . p p p
. p . . p . . .
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . B Q K B N R g8h6 0
r n . q k b . r
p b p p . p p p
. p . . p . . n
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . B Q K B N R c1h6 1
r n . q k b . r
p b p p . p p p
. p . . p . . B
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . . Q K B N R g7h6 1
r n . q k b . r
p b p p . p . p
. p . . p . . p
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . . P P P
R . . Q K B N R f1e2 0
r n . q k b . r
p b p p . p . p
. p . . p . . p
. . . . . . . .
. . . P P . . .
P . N . . . . .
. P P . B P P P
R . . Q K . N R d8g5 0
r n . . k b . r
p b p p . p . p
. p . . p . . p
. . . . . . q .
. . . P P . . .
P . N . . . . .
. P P . B P P P
R . . Q K . N R e2g4 0
r n . . k b . r
p b p p . p . p
. p . . p . . p
. . . . . . q .
. . . P P . B .
P . N . . . . .
. P P . . P P P
R . . Q K . N R h6h5 0
r n . . k b . r
p b p p . p . p
. p . . p . . .
. . . . . . q p
. . . P P . B .
P . N . . . . .
. P P . . P P P
R . . Q K . N R
",0,g1f3
"Queen's Pawn Game: Colle System, Anti-Colle","r n . q k b . r
p p p . p p p .
. . . . . n p .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P N . P P P
R . B Q K B . R e7e6 0
r n . q k b . r
p p p . . p p .
. . . . p n p .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P N . P P P
R . B Q K B . R f1d3 0
r n . q k b . r
p p p . . p p .
. . . . p n p .
. . . p . . . .
. . . P . . . .
. . . B P . . .
P P P N . P P P
R . B Q K . . R f8d6 0
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . p . . . .
. . . P . . . .
. . . B P . . .
P P P N . P P P
R . B Q K . . R e3e4 0
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . p . . . .
. . . P P . . .
. . . B . . . .
P P P N . P P P
R . B Q K . . R d5e4 1
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P p . . .
. . . B . . . .
P P P N . P P P
R . B Q K . . R d2e4 1
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P N . . .
. . . B . . . .
P P P . . P P P
R . B Q K . . R h8h2 1
r n . q k . . .
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P N . . .
. . . B . . . .
P P P . . P P r
R . B Q K . . R e1e2 0
r n . q k . . .
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P N . . .
. . . B . . . .
P P P . K P P r
R . B Q . . . R h2h1 1
r n . q k . . .
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P N . . .
. . . B . . . .
P P P . K P P .
R . B Q . . . r d1h1 1
r n . q k . . .
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P N . . .
. . . B . . . .
P P P . K P P .
R . B . . . . Q b8c6 0
r . . q k . . .
p p p . . p p .
. . n b p n p .
. . . . . . . .
. . . P N . . .
. . . B . . . .
P P P . K P P .
R . B . . . . Q c1g5 0
r . . q k . . .
p p p . . p p .
. . n b p n p .
. . . . . . B .
. . . P N . . .
. . . B . . . .
P P P . K P P .
R . . . . . . Q
",0,e8e7
"Queen's Pawn Game: Colle System, Anti-Colle","r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . P . . . .
. . . . . . . .
P P P . P P P P
R N B Q K B N R d7d5 0
r n b q k b n r
p p p . p p p p
. . . . . . . .
. . . p . . . .
. . . P . . . .
. . . . . . . .
P P P . P P P P
R N B Q K B N R g1f3 0
r n b q k b n r
p p p . p p p p
. . . . . . . .
. . . p . . . .
. . . P . . . .
. . . . . N . .
P P P . P P P P
R N B Q K B . R g8f6 0
r n b q k b . r
p p p . p p p p
. . . . . n . .
. . . p . . . .
. . . P . . . .
. . . . . N . .
P P P . P P P P
R N B Q K B . R e2e3 0
r n b q k b . r
p p p . p p p p
. . . . . n . .
. . . p . . . .
. . . P . . . .
. . . . P N . .
P P P . . P P P
R N B Q K B . R c8f5 0
r n . q k b . r
p p p . p p p p
. . . . . n . .
. . . p . b . .
. . . P . . . .
. . . . P N . .
P P P . . P P P
R N B Q K B . R f3h4 0
r n . q k b . r
p p p . p p p p
. . . . . n . .
. . . p . b . .
. . . P . . . N
. . . . P . . .
P P P . . P P P
R N B Q K B . R f5g6 0
r n . q k b . r
p p p . p p p p
. . . . . n b .
. . . p . . . .
. . . P . . . N
. . . . P . . .
P P P . . P P P
R N B Q K B . R h4g6 1
r n . q k b . r
p p p . p p p p
. . . . . n N .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P . . P P P
R N B Q K B . R h7g6 1
r n . q k b . r
p p p . p p p .
. . . . . n p .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P . . P P P
R N B Q K B . R b1d2 0
r n . q k b . r
p p p . p p p .
. . . . . n p .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P N . P P P
R . B Q K B . R
",0,e7e6
"Queen's Pawn Game: Colle System, Anti-Colle","r n . q k b . r
p p p . p p p p
. . . . . n . .
. . . p . b . .
. . . P . . . .
. . . . P N . .
P P P . . P P P
R N B Q K B . R f3h4 0
r n . q k b . r
p p p . p p p p
. . . . . n . .
. . . p . b . .
. . . P . . . N
. . . . P . . .
P P P . . P P P
R N B Q K B . R f5g6 0
r n . q k b . r
p p p . p p p p
. . . . . n b .
. . . p . . . .
. . . P . . . N
. . . . P . . .
P P P . . P P P
R N B Q K B . R h4g6 1
r n . q k b . r
p p p . p p p p
. . . . . n N .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P . . P P P
R N B Q K B . R h7g6 1
r n . q k b . r
p p p . p p p .
. . . . . n p .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P . . P P P
R N B Q K B . R b1d2 0
r n . q k b . r
p p p . p p p .
. . . . . n p .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P N . P P P
R . B Q K B . R e7e6 0
r n . q k b . r
p p p . . p p .
. . . . p n p .
. . . p . . . .
. . . P . . . .
. . . . P . . .
P P P N . P P P
R . B Q K B . R f1d3 0
r n . q k b . r
p p p . . p p .
. . . . p n p .
. . . p . . . .
. . . P . . . .
. . . B P . . .
P P P N . P P P
R . B Q K . . R f8d6 0
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . p . . . .
. . . P . . . .
. . . B P . . .
P P P N . P P P
R . B Q K . . R e3e4 0
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . p . . . .
. . . P P . . .
. . . B . . . .
P P P N . P P P
R . B Q K . . R d5e4 1
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P p . . .
. . . B . . . .
P P P N . P P P
R . B Q K . . R d2e4 1
r n . q k . . r
p p p . . p p .
. . . b p n p .
. . . . . . . .
. . . P N . . .
. . . B . . . .
P P P . . P P P
R . B Q K . . R
",1,h8h2
"Queen's Pawn Game: Colle System, Anti-Colle","r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . . . . .
. . . . . . . .
P P P P P P P P
R N B Q K B N R d2d4 0
r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . P . . . .
. . . . . . . .
P P P . P P P P
R N B Q K B N R d7d5 0
r n b q k b n r
p p p . p p p p
. . . . . . . .
. . . p . . . .
. . . P . . . .
. . . . . . . .
P P P . P P P P
R N B Q K B N R
",0,g1f3
"Queen's Pawn Game: Colle System, Anti-Colle","r n b q k b n r
p p p . p p p p
. . . . . . . .
. . . p . . . .
. . . P . . . .
. . . . . N . .
P P P . P P P P
R N B Q K B . R g8f6 0
r n b q k b . r
p p p . p p p p
. . . . . n . .
. . . p . . . .
. . . P . . . .
. . . . . N . .
P P P . P P P P
R N B Q K B . R e2e3 0
r n b q k b . r
p p p . p p p p
. . . . . n . .
. . . p . . . .
. . . P . . . .
. . . . P N . .
P P P . . P P P
R N B Q K B . R c8f5 0
r n . q k b . r
p p p . p p p p
. . . . . n . .
. . . p . b . .
. . . P . . . .
. . . . P N . .
P P P . . P P P
R N B Q K B . R
",0,f3h4
